SOUTH FLORIDA WATER MANAGEMENT DISTRICT
NEXRAD QUERY RESULTS
Radar Rainfall in Inches

POLYGON, DATE, TIME, VALUE, FREQUENCY, QUALITY
BD-C103 WEST, 10/02/2022, 0600,   0.001, H, NRT
BOGGY CREEK, 09/28/2022, 0000,   0.004, H, NRT
BOGGY CREEK, 09/28/2022, 0100,   0.013, H, NRT
BOGGY CREEK, 09/28/2022, 0200,   0.001, H, NRT
BOGGY CREEK, 09/28/2022, 0300,   0.013, H, NRT
BOGGY CREEK, 09/28/2022, 0400,   0.103, H, NRT
BOGGY CREEK, 09/28/2022, 0500,   0.124, H, NRT
BOGGY CREEK, 09/28/2022, 0600,   0.046, H, NRT
BOGGY CREEK, 09/28/2022, 0700,   0.057, H, NRT
BOGGY CREEK, 09/28/2022, 0800,   0.130, H, NRT
BOGGY CREEK, 09/28/2022, 0900,   0.101, H, NRT
BOGGY CREEK, 09/28/2022, 1000,   0.077, H, NRT
BOGGY CREEK, 09/28/2022, 1100,   0.022, H, NRT
BOGGY CREEK, 09/28/2022, 1300,   0.081, H, NRT
BOGGY CREEK, 09/28/2022, 1400,   0.237, H, NRT
BOGGY CREEK, 09/28/2022, 1500,   1.044, H, NRT
BOGGY CREEK, 09/28/2022, 1600,   0.257, H, NRT
BOGGY CREEK, 09/28/2022, 1700,   0.129, H, NRT
BOGGY CREEK, 09/28/2022, 1800,   0.188, H, NRT
BOGGY CREEK, 09/28/2022, 1900,   1.369, H, NRT
BOGGY CREEK, 09/28/2022, 2000,   0.748, H, NRT
BOGGY CREEK, 09/28/2022, 2100,   0.797, H, NRT
BOGGY CREEK, 09/28/2022, 2200,   1.263, H, NRT
BOGGY CREEK, 09/28/2022, 2300,   0.980, H, NRT
BOGGY CREEK, 09/29/2022, 0000,   0.935, H, NRT
BOGGY CREEK, 09/29/2022, 0100,   2.299, H, NRT
BOGGY CREEK, 09/29/2022, 0200,   1.059, H, NRT
BOGGY CREEK, 09/29/2022, 0300,   0.380, H, NRT
BOGGY CREEK, 09/29/2022, 0400,   0.351, H, NRT
BOGGY CREEK, 09/29/2022, 0500,   0.035, H, NRT
BOGGY CREEK, 09/29/2022, 0600,   0.006, H, NRT
BOGGY CREEK, 09/29/2022, 0700,   0.010, H, NRT
BOGGY CREEK, 09/29/2022, 0800,   0.002, H, NRT
BOGGY CREEK, 09/29/2022, 0900,   0.050, H, NRT
BOGGY CREEK, 09/29/2022, 1000,   0.096, H, NRT
BOGGY CREEK, 09/29/2022, 1100,   0.083, H, NRT
BOGGY CREEK, 09/29/2022, 1200,   0.038, H, NRT
BOGGY CREEK, 09/29/2022, 1300,   0.000, H, NRT
BOGGY CREEK, 09/29/2022, 1400,   0.000, H, NRT
C-1 EAST, 09/28/2022, 0000,   0.083, H, NRT
C-1 EAST, 09/28/2022, 0100,   0.162, H, NRT
C-1 EAST, 09/28/2022, 0300,   0.002, H, NRT
C-1 EAST, 09/28/2022, 0500,   0.010, H, NRT
C-1 EAST, 09/28/2022, 1200,   0.012, H, NRT
C-1 EAST, 09/28/2022, 1500,   0.095, H, NRT
C-1 EAST, 09/28/2022, 1600,   0.019, H, NRT
C-1 EAST, 09/28/2022, 1900,   0.003, H, NRT
C-1 WEST, 09/28/2022, 0000,   0.057, H, NRT
C-1 WEST, 09/28/2022, 0100,   0.043, H, NRT
C-1 WEST, 09/28/2022, 0200,   0.004, H, NRT
C-1 WEST, 09/28/2022, 0300,   0.000, H, NRT
C-1 WEST, 09/28/2022, 0400,   0.001, H, NRT
C-1 WEST, 09/28/2022, 0500,   0.001, H, NRT
C-1 WEST, 09/28/2022, 1000,   0.001, H, NRT
C-1 WEST, 09/28/2022, 1100,   0.002, H, NRT
C-1 WEST, 09/28/2022, 1200,   0.011, H, NRT
C-1 WEST, 09/28/2022, 1400,   0.002, H, NRT
C-1 WEST, 09/28/2022, 1500,   0.021, H, NRT
C-1 WEST, 09/28/2022, 1600,   0.002, H, NRT
C-1 WEST, 09/28/2022, 1800,   0.000, H, NRT
C-1 WEST, 09/28/2022, 1900,   0.000, H, NRT
C-1 WEST, 09/28/2022, 2200,   0.000, H, NRT
C-1 WEST, 09/30/2022, 2200,   0.000, H, NRT
C-1 WEST, 10/01/2022, 0300,   0.000, H, NRT
C-1 WEST, 10/01/2022, 0500,   0.000, H, NRT
C-10, 09/28/2022, 0100,   0.003, H, NRT
C-10, 09/28/2022, 0200,   0.121, H, NRT
C-10, 09/28/2022, 0300,   0.120, H, NRT
C-10, 09/28/2022, 0400,   0.279, H, NRT
C-10, 09/28/2022, 0500,   0.021, H, NRT
C-10, 09/28/2022, 0600,   0.064, H, NRT
C-10, 09/28/2022, 0900,   0.018, H, NRT
C-10, 09/28/2022, 1000,   0.003, H, NRT
C-10, 09/28/2022, 1200,   0.000, H, NRT
C-10, 09/28/2022, 1300,   0.005, H, NRT
C-10, 09/28/2022, 2300,   0.001, H, NRT
C-10, 10/01/2022, 2300,   0.001, H, NRT
C-10, 10/02/2022, 0200,   0.003, H, NRT
C-10, 10/02/2022, 0300,   0.044, H, NRT
C-10, 10/02/2022, 0400,   0.016, H, NRT
C-10, 10/02/2022, 0500,   0.000, H, NRT
C-100 EAST, 09/28/2022, 0000,   0.224, H, NRT
C-100 EAST, 09/28/2022, 0100,   0.154, H, NRT
C-100 EAST, 09/28/2022, 0300,   0.001, H, NRT
C-100 EAST, 09/28/2022, 0500,   0.005, H, NRT
C-100 EAST, 09/28/2022, 1200,   0.012, H, NRT
C-100 EAST, 09/28/2022, 1500,   0.125, H, NRT
C-100 EAST, 09/28/2022, 1600,   0.018, H, NRT
C-100 EAST, 09/28/2022, 1900,   0.001, H, NRT
C-100 WEST, 09/28/2022, 0000,   0.118, H, NRT
C-100 WEST, 09/28/2022, 0100,   0.183, H, NRT
C-100 WEST, 09/28/2022, 0400,   0.000, H, NRT
C-100 WEST, 09/28/2022, 0500,   0.006, H, NRT
C-100 WEST, 09/28/2022, 1100,   0.008, H, NRT
C-100 WEST, 09/28/2022, 1200,   0.016, H, NRT
C-100 WEST, 09/28/2022, 1500,   0.012, H, NRT
C-100 WEST, 09/28/2022, 1600,   0.001, H, NRT
C-100 WEST, 10/01/2022, 1300,   0.001, H, NRT
C-100 WEST, 10/01/2022, 1400,   0.000, H, NRT
C-102 EAST, 09/28/2022, 0000,   0.001, H, NRT
C-102 EAST, 09/28/2022, 0100,   0.086, H, NRT
C-102 EAST, 09/28/2022, 0300,   0.001, H, NRT
C-102 EAST, 09/28/2022, 0500,   0.001, H, NRT
C-102 EAST, 09/28/2022, 1200,   0.045, H, NRT
C-102 EAST, 09/28/2022, 1500,   0.114, H, NRT
C-102 EAST, 09/28/2022, 1600,   0.035, H, NRT
C-102 EAST, 09/28/2022, 1900,   0.006, H, NRT
C-102 WEST, 09/28/2022, 0000,   0.007, H, NRT
C-102 WEST, 09/28/2022, 0100,   0.026, H, NRT
C-102 WEST, 09/28/2022, 0200,   0.002, H, NRT
C-102 WEST, 09/28/2022, 0300,   0.000, H, NRT
C-102 WEST, 09/28/2022, 0400,   0.004, H, NRT
C-102 WEST, 09/28/2022, 0800,   0.000, H, NRT
C-102 WEST, 09/28/2022, 0900,   0.002, H, NRT
C-102 WEST, 09/28/2022, 1100,   0.010, H, NRT
C-102 WEST, 09/28/2022, 1200,   0.007, H, NRT
C-102 WEST, 09/28/2022, 1500,   0.019, H, NRT
C-102 WEST, 09/28/2022, 1600,   0.002, H, NRT
C-102 WEST, 09/28/2022, 1900,   0.001, H, NRT
C-102 WEST, 09/28/2022, 2100,   0.000, H, NRT
C-102 WEST, 09/28/2022, 2200,   0.001, H, NRT
C-11 EAST, 09/28/2022, 0000,   0.011, H, NRT
C-11 EAST, 09/28/2022, 0100,   0.015, H, NRT
C-11 EAST, 09/28/2022, 0200,   0.243, H, NRT
C-11 EAST, 09/28/2022, 0300,   0.090, H, NRT
C-11 EAST, 09/28/2022, 0400,   0.084, H, NRT
C-11 EAST, 09/28/2022, 0500,   0.003, H, NRT
C-11 EAST, 09/28/2022, 0600,   0.014, H, NRT
C-11 EAST, 09/28/2022, 0800,   0.006, H, NRT
C-11 EAST, 09/28/2022, 0900,   0.003, H, NRT
C-11 EAST, 09/28/2022, 1200,   0.028, H, NRT
C-11 EAST, 09/28/2022, 1300,   0.009, H, NRT
C-11 EAST, 09/28/2022, 1500,   0.052, H, NRT
C-11 EAST, 09/29/2022, 2100,   0.002, H, NRT
C-11 EAST, 09/30/2022, 2000,   0.005, H, NRT
C-11 EAST, 09/30/2022, 2100,   0.010, H, NRT
C-11 EAST, 10/01/2022, 2300,   0.019, H, NRT
C-11 EAST, 10/02/2022, 0000,   0.004, H, NRT
C-11 EAST, 10/02/2022, 0200,   0.004, H, NRT
C-11 EAST, 10/02/2022, 0300,   0.000, H, NRT
C-11 EAST, 10/02/2022, 0400,   0.001, H, NRT
C-11 HW, 09/28/2022, 0000,   0.032, H, NRT
C-11 HW, 09/28/2022, 0100,   0.684, H, NRT
C-11 HW, 09/28/2022, 0200,   0.381, H, NRT
C-11 HW, 09/28/2022, 1100,   0.013, H, NRT
C-11 HW, 09/28/2022, 1200,   0.000, H, NRT
C-11 HW, 09/28/2022, 1400,   0.012, H, NRT
C-11 HW, 09/28/2022, 1500,   0.235, H, NRT
C-11 HW, 09/29/2022, 2100,   0.000, H, NRT
C-11 HW, 09/30/2022, 2000,   0.020, H, NRT
C-11 HW, 09/30/2022, 2100,   0.030, H, NRT
C-11 WEST, 09/28/2022, 0000,   0.075, H, NRT
C-11 WEST, 09/28/2022, 0100,   0.303, H, NRT
C-11 WEST, 09/28/2022, 0200,   0.247, H, NRT
C-11 WEST, 09/28/2022, 0300,   0.060, H, NRT
C-11 WEST, 09/28/2022, 0400,   0.012, H, NRT
C-11 WEST, 09/28/2022, 0500,   0.000, H, NRT
C-11 WEST, 09/28/2022, 0600,   0.006, H, NRT
C-11 WEST, 09/28/2022, 0800,   0.001, H, NRT
C-11 WEST, 09/28/2022, 0900,   0.000, H, NRT
C-11 WEST, 09/28/2022, 1100,   0.011, H, NRT
C-11 WEST, 09/28/2022, 1200,   0.030, H, NRT
C-11 WEST, 09/28/2022, 1400,   0.001, H, NRT
C-11 WEST, 09/28/2022, 1500,   0.158, H, NRT
C-11 WEST, 09/28/2022, 2300,   0.000, H, NRT
C-11 WEST, 09/29/2022, 2100,   0.013, H, NRT
C-11 WEST, 09/29/2022, 2200,   0.002, H, NRT
C-11 WEST, 09/30/2022, 2000,   0.015, H, NRT
C-11 WEST, 09/30/2022, 2100,   0.025, H, NRT
C-11 WEST, 10/01/2022, 0400,   0.000, H, NRT
C-11 WEST, 10/01/2022, 1800,   0.000, H, NRT
C-11 WEST, 10/02/2022, 0400,   0.000, H, NRT
C-111 AG, 09/28/2022, 0000,   0.000, H, NRT
C-111 AG, 09/28/2022, 0100,   0.000, H, NRT
C-111 AG, 09/28/2022, 0400,   0.009, H, NRT
C-111 AG, 09/28/2022, 0500,   0.002, H, NRT
C-111 AG, 09/28/2022, 0600,   0.000, H, NRT
C-111 AG, 09/28/2022, 0800,   0.000, H, NRT
C-111 AG, 09/28/2022, 1000,   0.004, H, NRT
C-111 AG, 09/28/2022, 1100,   0.001, H, NRT
C-111 AG, 09/28/2022, 1200,   0.002, H, NRT
C-111 AG, 09/28/2022, 1400,   0.020, H, NRT
C-111 AG, 09/28/2022, 1500,   0.032, H, NRT
C-111 AG, 09/28/2022, 1900,   0.004, H, NRT
C-111 AG, 09/28/2022, 2100,   0.000, H, NRT
C-111 AG, 09/28/2022, 2200,   0.001, H, NRT
C-111 AG, 10/01/2022, 1600,   0.001, H, NRT
C-111 COASTAL, 09/28/2022, 0100,   0.000, H, NRT
C-111 COASTAL, 09/28/2022, 0200,   0.000, H, NRT
C-111 COASTAL, 09/28/2022, 0300,   0.000, H, NRT
C-111 COASTAL, 09/28/2022, 0400,   0.000, H, NRT
C-111 COASTAL, 09/28/2022, 0500,   0.001, H, NRT
C-111 COASTAL, 09/28/2022, 0700,   0.002, H, NRT
C-111 COASTAL, 09/28/2022, 0800,   0.003, H, NRT
C-111 COASTAL, 09/28/2022, 1000,   0.011, H, NRT
C-111 COASTAL, 09/28/2022, 1100,   0.002, H, NRT
C-111 COASTAL, 09/28/2022, 1200,   0.013, H, NRT
C-111 COASTAL, 09/28/2022, 1400,   0.029, H, NRT
C-111 COASTAL, 09/28/2022, 1500,   0.038, H, NRT
C-111 COASTAL, 09/28/2022, 1800,   0.001, H, NRT
C-111 COASTAL, 09/28/2022, 1900,   0.004, H, NRT
C-111 COASTAL, 09/28/2022, 2000,   0.015, H, NRT
C-111 COASTAL, 09/28/2022, 2200,   0.000, H, NRT
C-111 COASTAL, 09/28/2022, 2300,   0.005, H, NRT
C-111 COASTAL, 10/01/2022, 1600,   0.004, H, NRT
C-111 COASTAL, 10/01/2022, 1700,   0.000, H, NRT
C-111 COASTAL, 10/02/2022, 0100,   0.000, H, NRT
C-111 COASTAL, 10/02/2022, 0500,   0.005, H, NRT
C-111 COASTAL, 10/02/2022, 0600,   0.003, H, NRT
C-111 COASTAL, 10/02/2022, 0700,   0.001, H, NRT
C-111 SOUTH, 09/28/2022, 0400,   0.001, H, NRT
C-111 SOUTH, 09/28/2022, 0500,   0.000, H, NRT
C-111 SOUTH, 09/28/2022, 0700,   0.000, H, NRT
C-111 SOUTH, 09/28/2022, 0800,   0.001, H, NRT
C-111 SOUTH, 09/28/2022, 1000,   0.012, H, NRT
C-111 SOUTH, 09/28/2022, 1100,   0.003, H, NRT
C-111 SOUTH, 09/28/2022, 1200,   0.025, H, NRT
C-111 SOUTH, 09/28/2022, 1400,   0.040, H, NRT
C-111 SOUTH, 09/28/2022, 1500,   0.081, H, NRT
C-111 SOUTH, 09/28/2022, 1800,   0.001, H, NRT
C-111 SOUTH, 09/28/2022, 1900,   0.003, H, NRT
C-111 SOUTH, 09/28/2022, 2000,   0.007, H, NRT
C-111 SOUTH, 09/28/2022, 2200,   0.001, H, NRT
C-111 SOUTH, 09/28/2022, 2300,   0.000, H, NRT
C-111 SOUTH, 10/01/2022, 1600,   0.002, H, NRT
C-111 SOUTH, 10/02/2022, 0100,   0.000, H, NRT
C-111 SOUTH, 10/02/2022, 0400,   0.001, H, NRT
